# English language
9780 00-19
9780 200-227
9780 2280-2289
9780 229-368
9780 3690-3699
9780 370-638
9780 6390-6398
9780 6399000-6399999
9780 640-647
9780 6480000-6489999
9780 649-654
9780 6550-6559
9780 656-699
9780 7000-8499
9780 85000-89999
9780 900000-949999
9780 9500000-9999999
# English language
9781 00-09
9781 100-399
9781 4000-5499
9781 55000-71699
9781 7170-7319
9781 7320000-7399999
9781 74000-77499
9781 7750000-7753999
9781 77540-78999
9781 7900-7999
9781 80000-86979
9781 869800-916399
9781 9164000-9165059
9781 916506-972999
9781 9730-9877
9781 987800-998999
9781 9990000-9999999
# French language
9782 00-19
9782 200-349
9782 35000-39999
9782 400-489
9782 490000-494999
9782 495-699
9782 7000-8399
9782 84000-89999
9782 900000-919799
9782 91980-91980
9782 919810-919942
9782 9199430-9199689
9782 919969-949999
9782 9500000-9999999
# German language
9783 00-02
9783 030-033
9783 0340-0369
9783 03700-03999
9783 04-19
9783 200-699
9783 7000-8499
9783 85000-89999
9783 900000-949999
9783 9500000-9539999
9783 95400-96999
9783 9700000-9899999
9783 99000-99499
9783 99500-99999
# Japan
9784 00-19
9784 200-699
9784 7000-8499
9784 85000-89999
9784 900000-949999
9784 9500000-9999999
# former U.S.S.R
9785 00000-00499
9785 0050-0099
9785 01-19
9785 200-420
9785 4210-4299
9785 430-430
9785 4310-4399
9785 440-440
9785 4410-4499
9785 450-603
9785 6040000-6049999
9785 605-699
9785 7000-8499
9785 85000-89999
9785 900000-909999
9785 91000-91999
9785 9200-9299
9785 93000-94999
9785 9500000-9500999
9785 9501-9799
9785 98000-98999
9785 9900000-9909999
9785 9910-9999
# Iran
978600 00-09
978600 100-499
978600 5000-8999
978600 90000-98679
978600 9868-9929
978600 993-995
978600 99600-99999
# Kazakhstan
978601 00-19
978601 200-699
978601 7000-7999
978601 80000-84999
978601 85-99
# Indonesia
978602 00-06
978602 0700-1399
978602 14000-14999
978602 1500-1699
978602 17000-19999
978602 200-499
978602 50000-53999
978602 5400-5999
978602 60000-61999
978602 6200-6999
978602 70000-74999
978602 7500-9499
978602 95000-99999
# Saudi Arabia
978603 00-04
978603 05-49
978603 500-799
978603 8000-8999
978603 90000-99999
# Vietnam
978604 0-4
978604 50-89
978604 900-979
978604 9800-9999
# Turkey
978605 01-02
978605 030-039
978605 04-09
978605 100-199
978605 2000-2399
978605 240-399
978605 4000-5999
978605 60000-74999
978605 7500-7999
978605 80000-89999
978605 9000-9999
# Romania
978606 000-099
978606 10-49
978606 500-799
978606 8000-9099
978606 910-919
978606 92000-97499
978606 975-999
# Mexico
978607 00-39
978607 400-749
978607 7500-9499
978607 95000-99999
# Macedonia
978608 0-0
978608 10-19
978608 200-449
978608 4500-6499
978608 65000-69999
978608 7-9
# Lithuania
978609 00-39
978609 400-799
978609 8000-9499
978609 95000-99999
# Thailand
# Peru
978612 00-29
978612 300-399
978612 4000-4499
978612 45000-49999
978612 50-99
# Mauritius
978613 0-9
# Lebanon
978614 00-39
978614 400-799
978614 8000-9499
978614 95000-99999
# Hungary
978615 00-09
978615 100-499
978615 5000-7999
978615 80000-89999
# Thailand
978616 00-19
978616 200-699
978616 7000-8999
978616 90000-99999
# Ukraine
978617 00-49
978617 500-699
978617 7000-8999
978617 90000-99999
# Greece
978618 00-19
978618 200-499
978618 5000-7999
978618 80000-99999
# Bulgaria
978619 00-14
978619 150-699
978619 7000-8999
978619 90000-99999
# Mauritius
978620 0-9
# Philippines
978621 00-29
978621 400-599
978621 8000-8999
978621 95000-99999
# Iran
978622 00-03
978622 200-219
978622 6000-6399
978622 99000-99999
# Brazil
97865 5000-5004
97865 80000-80199
97865 900000-900099
# China, People's Republic
9787 00-09
9787 100-499
9787 5000-7999
9787 80000-89999
9787 900000-999999
# former Czechoslovakia
97880 00-19
97880 200-699
97880 7000-8499
97880 85000-89999
97880 900000-998999
97880 99900-99999
# India
97881 00-19
97881 200-699
97881 7000-8499
97881 85000-89999
97881 900000-999999
# Norway
97882 00-19
97882 200-689
97882 690000-699999
97882 7000-8999
97882 90000-98999
97882 990000-999999
# Poland
97883 00-19
97883 200-599
97883 60000-69999
97883 7000-8499
97883 85000-89999
97883 900000-999999
# Spain
97884 00-12
97884 1300-1399
97884 140-149
97884 15000-19999
97884 200-699
97884 7000-8499
97884 85000-89999
97884 9000-9199
97884 920000-923999
97884 92400-92999
97884 930000-949999
97884 95000-96999
97884 9700-9999
# Brazil
97885 00-19
97885 200-454
97885 455000-455299
97885 45530-45599
97885 456-528
97885 52900-53199
97885 5320-5339
97885 534-539
97885 54000-54029
97885 54030-54039
97885 540400-540499
97885 54050-54089
97885 540900-540999
97885 54100-54399
97885 5440-5479
97885 54800-54999
97885 5500-5999
97885 60000-69999
97885 7000-8499
97885 85000-89999
97885 900000-924999
97885 92500-94499
97885 9450-9599
97885 96-97
97885 98000-99999
# former Yugoslavia
97886 00-29
97886 300-599
97886 6000-7999
97886 80000-89999
97886 900000-999999
# Denmark
97887 00-29
97887 400-649
97887 7000-7999
97887 85000-94999
97887 970000-999999
# Italy
97888 00-19
97888 200-318
97888 31900-32299
97888 323-326
97888 3270-3389
97888 339-548
97888 5490-5549
97888 555-599
97888 6000-8499
97888 85000-89999
97888 900000-909999
97888 910-929
97888 9300-9399
97888 940000-947999
97888 94800-94999
97888 95000-99999
# Korea, Republic
97889 00-24
97889 250-549
97889 5500-8499
97889 85000-94999
